CARRERA,FACULTAD
ADMINISTRACION PUBLICA,FACULTAD DE ADMINISTRACION Y ECONOMIA
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
ANALISIS Y GESTION DE PROCESOS PRODUCTIVOS,FACULTAD TECNOLOGICA
ANALISTA COMPUTACION CIENTIFICA / LICENCIATURA CIENCIA DE LA COMPUTACION,FACULTAD DE CIENCIA
ANALISTA COMPUTACION CIENTIFICA/LICENCIATURA CIENCIA DE LA COMPUTACION,FACULTAD DE CIENCIA
ARQUITECTURA,ESCUELA DE ARQUITECTURA
ARQUITECTURA,VICERRECTORIA ACADEMICA
ASTROFISICA CON MENCION CIENCIA DE DATOS,FACULTAD DE CIENCIA
BACHILLERATO CIENCIAS Y HUMANIDADES,VICERRECTORIA ACADEMICA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,BACHILLERATO CIENCIAS Y HUMANIDADES
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,PROGRAMA DE BACHILLERATO CIENCIAS Y HUMANIDADES
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,VICERRECTORIA ACADEMICA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-/INGENIERIA CIVIL INFORMATICA,BACHILLERATO CIENCIAS Y HUMANIDADES
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
BIOQUIMICA Y LICENCIATURA BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (DIURNO),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (V),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (V)/ENTRENADOR DEPORTIVO,FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (VESPERTINO),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR -INGRESO ESPECIAL,FACULTAD DE ADMINISTRACION Y ECONOMIA
DERECHO,FACULTAD DE DERECHO
DISENO COMUNICACION VISUAL,FACULTAD TECNOLOGICA
DISENO INDUSTRIAL,FACULTAD TECNOLOGICA
ENFERMERIA,FACULTAD DE CIENCIAS MEDICAS
ENTRENADOR DEPORTIVO,FACULTAD DE CIENCIAS MEDICAS
INGENIERIA AGRONEGOCIOS,FACULTAD TECNOLOGICA
INGENIERIA AMBIENTAL,FACULTAD DE INGENIERIA
INGENIERIA BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL AMBIENTE,FACULTAD DE INGENERIIA
INGENIERIA CIVIL AMBIENTE,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL GEOGRAFIA,FACULTAD DE INGENIERIA
