CARRERA,FACULTAD
INGENIERIA MATEMATICA,FACULTAD DE CIENCIA
INGENIERIA COMERCIAL,FACULTAD DE ADMINISTRACION Y ECONOMIA
DISENO COMUNICACION VISUAL,FACULTAD TECNOLOGICA
CONTADOR PUBLICO Y AUDITOR (DIURNO),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL,FACULTAD DE ADMINISTRACION Y ECONOMIA
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES - JAPONES E INGLES - PORTUGUES,FACULTAD DE HUMANIDADES
TECNOLOGIA CONSTRUCCIONES,FACULTAD TECNOLOGICA
ANALISTA COMPUTACION CIENTIFICA / LICENCIATURA CIENCIA DE LA COMPUTACION,FACULTAD DE CIENCIA
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (DIURNO),FACULTAD DE ADMINISTRACION Y ECONOMIA
OBSTETRICIA Y PUERICULTURA,FACULTAD DE CIENCIAS MEDICAS
LICENCIATURA ESTUDIOS INTERNACIONALES,FACULTAD DE HUMANIDADES
DERECHO,FACULTAD DE DERECHO
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
ARQUITECTURA,VICERRECTORIA ACADEMICA
LICENCIATURA CIENCIAS DE LA ACTIVIDAD FISICA / ENTRENADOR DEPORTIVO,FACULTAD DE CIENCIAS MEDICAS
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES - JAPONES E INGLES - PORTUGUES,FACULTAD DE HUMANIDADES
INGENIERIA COMERCIAL,FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL,FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (DIURNO),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL,FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
OBSTETRICIA Y PUERICULTURA,FACULTAD DE CIENCIAS MEDICAS
KINESIOLOGIA,FACULTAD DE CIENCIAS MEDICAS
KINESIOLOGIA,FACULTAD DE CIENCIAS MEDICAS
INGENIERIA COMERCIAL,FACULTAD DE ADMINISTRACION Y ECONOMIA
