CARRERA,FACULTAD
KINESIOLOGIA,FACULTAD DE CIENCIAS MEDICAS
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA FISICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,PROGRAMA DE BACHILLERATO CIENCIAS Y HUMANIDADES
INGENIERIA CIVIL GEOGRAFIA,FACULTAD DE INGENIERIA
DISENO INDUSTRIAL,FACULTAD TECNOLOGICA
ENFERMERIA,FACULTAD DE CIENCIAS MEDICAS
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
INGENIERIA DE EJECUCION ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION COMPUTACION E INFORMATICA,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION INDUSTRIAL,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (V),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR -INGRESO ESPECIAL,FACULTAD DE ADMINISTRACION Y ECONOMIA
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,BACHILLERATO CIENCIAS Y HUMANIDADES
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES-JAPONES E INGLES-PORTUGUES,FACULTAD DE HUMANIDADES
INGENIERIA DE EJECUCION INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
INGENIERIA MATEMATICA -PLAN 2007-,FACULTAD DE CIENCIA
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES-JAPONES E INGLES-PORTUGUES,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
PEDAGOGIA INGLES,FACULTAD DE HUMANIDADES
INGENIERIA DE EJECUCION MINAS,FACULTAD DE INGENIERIA
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
TECNICO UNIVERSITARIO ANALISIS QUIMICO Y FISICO (V),FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
ARQUITECTURA,ESCUELA DE ARQUITECTURA
INGENIERIA DE EJECUCION COMPUTACION E INFORMATICA,FACULTAD DE INGENIERIA
LICENCIATURA HISTORIA,FACULTAD DE HUMANIDADES
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
PEDAGOGIA EDUCACION GENERAL BASICA,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA MATEMATICA -PLAN 2007-,FACULTAD DE CIENCIA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,PROGRAMA DE BACHILLERATO CIENCIAS Y HUMANIDADES
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
TECNOLOGIA ADMINISTRACION DE PERSONAL,FACULTAD TECNOLOGICA
ARQUITECTURA,ESCUELA DE ARQUITECTURA
INGENIERIA ESTADISTICA,FACULTAD DE CIENCIA
INGENIERIA DE EJECUCION COMPUTACION E INFORMATICA,FACULTAD DE INGENIERIA
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
TECNOLOGIA ALIMENTOS,FACULTAD TECNOLOGICA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,BACHILLERATO CIENCIAS Y HUMANIDADES
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
ENFERMERIA,FACULTAD DE CIENCIAS MEDICAS
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION MINAS,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,BACHILLERATO CIENCIAS Y HUMANIDADES
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA DE EJECUCION METALURGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL METALURGIA,FACULTAD DE INGENIERIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA AMBIENTAL,FACULTAD DE INGENIERIA
