CARRERA,FACULTAD
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA ESTADISTICA,FACULTAD DE CIENCIA
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES-JAPONES E INGLES-PORTUGUES,FACULTAD DE HUMANIDADES
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA ESTADISTICA,FACULTAD DE CIENCIAS
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
PEDAGOGIA FILOSOFIA,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
INGENIERIA CIVIL ELECTRICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
PSICOLOGIA,FACULTAD DE HUMANIDADES
PSICOLOGIA,FACULTAD DE HUMANIDADES
DERECHO,FACULTAD DE DERECHO
INGENIERIA MATEMATICA -PLAN 2007-,FACULTAD DE CIENCIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL INDUSTRIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL GEOGRAFIA,FACULTAD DE INGENIERIA
DERECHO,FACULTAD DE DERECHO
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
LICENCIATURA ESTUDIOS INTERNACIONALES,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA FISICA,FACULTAD DE CIENCIA
PEDAGOGIA INGLES,FACULTAD DE HUMANIDADES
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
INGENIERIA BIOTECNOLOGIA,FACULTAD DE INGENIERIA
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES-JAPONES E INGLES-PORTUGUES,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
PEDAGOGIA CASTELLANO,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA FISICA,FACULTAD DE CIENCIA
PSICOLOGIA,FACULTAD DE HUMANIDADES
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
PEDAGOGIA INGLES,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
