CARRERA,FACULTAD
DERECHO,FACULTAD DE DERECHO
INGENIERIA DE EJECUCION ELECTRICIDAD,FACULTAD DE INGENIERIA
TECNOLOGIA MANTENIMIENTO INDUSTRIAL,FACULTAD TECNOLOGICA
DISENO INDUSTRIAL,FACULTAD TECNOLOGICA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
DISENO COMUNICACION VISUAL,FACULTAD TECNOLOGICA
DERECHO,FACULTAD DE DERECHO
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
TECNOLOGIA AUTOMATIZACION INDUSTRIAL,FACULTAD TECNOLOGICA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,VICERRECTORIA ACADEMICA
PEDAGOGIA MATEMATICA Y COMPUTACION,FACULTAD DE CIENCIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
KINESIOLOGIA,FACULTAD DE CIENCIAS MEDICAS
DERECHO,FACULTAD DE DERECHO
PEDAGOGIA INGLES,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
PSICOLOGIA,FACULTAD DE HUMANIDADES
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
KINESIOLOGIA,FACULTAD DE CIENCIAS MEDICAS
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
PEDAGOGIA EDUCACION GENERAL BASICA,FACULTAD DE HUMANIDADES
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,VICERRECTORIA ACADEMICA
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
ENFERMERIA,FACULTAD DE CIENCIAS MEDICAS
TECNOLOGIA AUTOMATIZACION INDUSTRIAL,FACULTAD TECNOLOGICA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
ASTROFISICA CON MENCION CIENCIA DE DATOS,FACULTAD DE CIENCIA
INGENIERIA DE EJECUCION COMPUTACION E INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
PEDAGOGIA INGLES,FACULTAD DE HUMANIDADES
PEDAGOGIA CASTELLANO,FACULTAD DE HUMANIDADES
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
DISENO INDUSTRIAL,FACULTAD TECNOLOGICA
PEDAGOGIA EDUCACION GENERAL BASICA,FACULTAD DE HUMANIDADES
PSICOLOGIA,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL METALURGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
DISENO COMUNICACION VISUAL,FACULTAD TECNOLOGICA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
ASTROFISICA CON MENCION CIENCIA DE DATOS,FACULTAD DE CIENCIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
DISENO INDUSTRIAL,FACULTAD TECNOLOGICA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,VICERRECTORIA ACADEMICA
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION MINAS,FACULTAD DE INGENIERIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
ENFERMERIA,FACULTAD DE CIENCIAS MEDICAS
TECNOLOGIA CONSTRUCCIONES,FACULTAD TECNOLOGICA
CONTADOR PUBLICO Y AUDITOR (V),FACULTAD DE ADMINISTRACION Y ECONOMIA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,VICERRECTORIA ACADEMICA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
ENFERMERIA,FACULTAD DE CIENCIAS MEDICAS
DERECHO,FACULTAD DE DERECHO
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
