CARRERA,FACULTAD
TECNOLOGIA ADMINISTRACION DE PERSONAL,FACULTAD TECNOLOGICA
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-,BACHILLERATO CIENCIAS Y HUMANIDADES
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION COMPUTACION E INFORMATICA,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (V)/ENTRENADOR DEPORTIVO,FACULTAD DE ADMINISTRACION Y ECONOMIA
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
ENFERMERIA,FACULTAD DE CIENCIAS MEDICAS
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
KINESIOLOGIA,FACULTAD DE CIENCIAS MEDICAS
INGENIERIA ESTADISTICA,FACULTAD DE CIENCIA
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
DERECHO,FACULTAD DE DERECHO
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
TECNOLOGIA ALIMENTOS,FACULTAD TECNOLOGICA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
PSICOLOGIA,FACULTAD DE HUMANIDADES
TECNICO UNIVERSITARIO ANALISIS QUIMICO Y FISICO,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
TECNOLOGIA ALIMENTOS,FACULTAD TECNOLOGICA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL AMBIENTE,FACULTAD DE INGENIERIA
"INGENIERIA DE EJECUCION CLIMATIZACION (CALEFACCION, REFRIGERACION Y AIRE ACONDICIONADO)",FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
PEDAGOGIA INGLES,FACULTAD DE HUMANIDADES
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION COMPUTACION E INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL GEOGRAFIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL AMBIENTE,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INFORMATICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL GEOGRAFIA,FACULTAD DE INGENIERIA
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES-JAPONES E INGLES-PORTUGUES,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
INGENIERIA FISICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL INDUSTRIAL,FACULTAD DE INGENIERIA
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL TELEMATICA,FACULTAD DE INGENIERIA
QUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA DE EJECUCION GEOMENSURA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA CIVIL METALURGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL METALURGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES-JAPONES E INGLES-PORTUGUES,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES-JAPONES E INGLES-PORTUGUES,FACULTAD DE HUMANIDADES
BACHILLERATO CIENCIAS Y HUMANIDADES -PLAN 2004-/INGENIERIA CIVIL INFORMATICA,BACHILLERATO CIENCIAS Y HUMANIDADES
INGENIERIA DE EJECUCION MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
TECNOLOGIA ADMINISTRACION DE PERSONAL,FACULTAD TECNOLOGICA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION MINAS,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL GEOMENSURA Y GEOMATICA,FACULTAD DE INGENIERIA
LICENCIATURA LINGUISTICA APLICADA A LA TRADUCCION INGLES-JAPONES E INGLES-PORTUGUES,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL AMBIENTE,FACULTAD DE INGENERIIA
INGENIERIA DE EJECUCION QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (V),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA DE EJECUCION INDUSTRIAL,FACULTAD DE INGENIERIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
MEDICINA,FACULTAD DE CIENCIAS MEDICAS
INGENIERIA DE EJECUCION MINAS,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION MINAS,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION INDUSTRIAL,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION METALURGIA,FACULTAD DE INGENIERIA
QUIMICA Y FARMACIA,FACULTAD DE QUIMICA Y BIOLOGIA
CONTADOR PUBLICO Y AUDITOR (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA MATEMATICA -PLAN 2007-,FACULTAD DE CIENCIA
INGENIERIA MATEMATICA -PLAN 2007-,FACULTAD DE CIENCIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA COMERCIAL (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA CIVIL ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
PEDAGOGIA INGLES,FACULTAD DE HUMANIDADES
PEDAGOGIA INGLES,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECATRONICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
PEDAGOGIA INGLES,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION ELECTRICIDAD,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
TECNICO UNIVERSITARIO ANALISIS QUIMICO Y FISICO (V),FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL BIOMEDICA,FACULTAD DE INGENIERIA
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL OBRAS CIVILES,FACULTAD DE INGENIERIA
PEDAGOGIA QUIMICA Y BIOLOGIA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA DE EJECUCION INDUSTRIAL,FACULTAD DE INGENIERIA
TECNOLOGIA ALIMENTOS,FACULTAD TECNOLOGICA
INGENIERIA MATEMATICA -PLAN 2007-,FACULTAD DE CIENCIA
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL BIOTECNOLOGIA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL TELEMATICA,FACULTAD DE INGENIERIA
BIOQUIMICA,FACULTAD DE QUIMICA Y BIOLOGIA
PEDAGOGIA INGLES,FACULTAD DE HUMANIDADES
INGENIERIA CIVIL QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL AMBIENTE,FACULTAD DE INGENIERIA
INGENIERIA DE EJECUCION INDUSTRIAL,FACULTAD DE INGENIERIA
TECNOLOGIA CONSTRUCCIONES,FACULTAD TECNOLOGICA
INGENIERIA DE EJECUCION MINAS,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MINAS,FACULTAD DE INGENIERIA
PEDAGOGIA HISTORIA Y CIENCIAS SOCIALES,FACULTAD DE HUMANIDADES
ADMINISTRACION PUBLICA (D),FACULTAD DE ADMINISTRACION Y ECONOMIA
ANALISIS Y GESTION DE PROCESOS PRODUCTIVOS,FACULTAD TECNOLOGICA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
INGENIERIA CIVIL MECANICA,FACULTAD DE INGENIERIA
TECNOLOGIA TELECOMUNICACIONES,FACULTAD TECNOLOGICA
INGENIERIA DE EJECUCION QUIMICA,FACULTAD DE INGENIERIA
INGENIERIA AMBIENTAL,FACULTAD DE INGENIERIA
CONTADOR PUBLICO Y AUDITOR (V),FACULTAD DE ADMINISTRACION Y ECONOMIA
INGENIERIA DE EJECUCION INDUSTRIAL,FACULTAD DE INGENIERIA
